original_path,classification,block_reason,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs-N-Harmony ft 2pac thug luv lyrics.mp3,LOW_CONFIDENCE_BLOCK,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Boogie Down Productions- South Bronx.mp3,LOW_CONFIDENCE_BLOCK,,
C:\Users\suppo\Downloads\New Music\Top1000\Bop Menaxe- Til The Rain Gone.mp3,LOW_CONFIDENCE_BLOCK,,
C:\Users\suppo\Downloads\New Music\Top1000\Bop Menaxe- War Cry.mp3,LOW_CONFIDENCE_BLOCK,,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Brad Paisley-Mr Policeman with lyrics.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Brad Paisleys Im Still A Guy.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Brandi Carlile Hallelujah.mp3,NO_PARSE,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\BT- Race Wars.mp3,NO_PARSE,,
C:\Users\suppo\Downloads\New Music\Top1000\BTS- MIC Drop.mp3,NO_PARSE,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\California Love by 2Pac ft. Dr. Dre ｜ Interscope.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Club\Calvin Harris - Summer.mp3,OTHER_HOLD,,
"C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3",OTHER_HOLD,,
"C:\Users\suppo\Downloads\New Music\Top1000_Club\Calvin Harris, Rihanna - This Is What You Came For.mp3",OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\CANCUN - Jhanking ｜.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\CANIBUS MAN.mp3,NO_PARSE,,
C:\Users\suppo\Downloads\New Music\Top1000\Carine - Call 911 ｜ Official Music Video.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Carine - Lolita ｜ Official Visualizer.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Carine - On My Mind ｜ Official Music Video.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Classical\Carol of the Bells aka The Ukranian Carol.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Caught In A Mosh.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Celebrate ｜ African Style ｜ Peter Gabriels.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Charles Brown Black Night.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Charlie Daniels Band-The Souths Gonna Do It Again.mp3,LOW_CONFIDENCE_BLOCK,,
C:\Users\suppo\Downloads\New Music\Top1000\Chavo ＂Tatum Jersey＂ Official Video.mp3,NO_PARSE,,
C:\Users\suppo\Downloads\New Music\Top1000\CHILL OUT COLOGNE ＂Time＂ official Video 4K.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Chris Janson - ＂Buy Me A Boat＂.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Chris Janson - ＂Power of Positive Drinkin＂.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Battle Of Life (Official Lyric Video) ｜ Napalm Records.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Invaders (Official Lyric Video) ｜ Napalm Records.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Oblivion (Official Lyric Video) ｜ Napalm Records.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Classic Crooner Collection ｜ Best Jazz Hits Golden Era 50s–70s ｜ Golden Crooner Classics 🎶.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Classical\CLAUDE DEBUSSY： CLAIR DE LUNE.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Club\Clean Bandit - Rockabye.mp3,OTHER_HOLD,,
"C:\Users\suppo\Downloads\New Music\Top1000\Coke ＂All Hear＂ feat. L Haggood, Silence the 5th.mp3",OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Club\Coldplay - Hymn For The Weekend.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Communication Breakdown (Remaster).mp3,NO_PARSE,,
"C:\Users\suppo\Downloads\New Music\Top1000\Cool Company - I Dont Wanna Be In Love, But I Dont Wanna Be Alone ｜ Official Music Video.mp3",OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise ft. L.V..mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Coolio - Gangstas Paradise ft. L.V..mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Coolio - Gangstas Paradise.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Country Music Channel.mp3,NO_PARSE,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Hits from the Bong (Official Audio).mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Hits from the Bong.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Insane In The Brain (Official HD Video).mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Insane In The Brain.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\D.R.S Gangsta Lean.mp3,NO_PARSE,,
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\David Allan Coe texas lullaby.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂Gods Eyes＂.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂PTSD＂.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dax - ＂TEMPTATION＂.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,OTHER_HOLD,,
