original_path,new_path,action_taken,result,reason,source_hash,dest_hash
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Oblivion (Official Lyric Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Oblivion Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,695f8942e59c9033ca888b4e8d126a0d00e579d28e5719d69cc21f42782c9bb8,695f8942e59c9033ca888b4e8d126a0d00e579d28e5719d69cc21f42782c9bb8
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Classic Crooner Collection ｜ Best Jazz Hits Golden Era 50s–70s ｜ Golden Crooner Classics 🎶.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Classic Crooner Collection Best Jazz Hits Golden Era 50s - 70s Golden Crooner Classics 🎶.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,4be4d988e4d51a0998c322fb6cd51da898661d2c9c2255ecaa00162f2b581b5b,4be4d988e4d51a0998c322fb6cd51da898661d2c9c2255ecaa00162f2b581b5b
"C:\Users\suppo\Downloads\New Music\Top1000\Cool Company - I Dont Wanna Be In Love, But I Dont Wanna Be Alone ｜ Official Music Video.mp3","C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cool Company - I Dont Wanna Be in Love, but I Dont Wanna Be Alone ｜ Official Music Video.mp3",rename_and_move,applied,renamed and moved to READY_NORMALIZED,49d74f91042058999e2716a30bad416c06d4084f6a120bb70e84c755d44bff15,49d74f91042058999e2716a30bad416c06d4084f6a120bb70e84c755d44bff15
C:\Users\suppo\Downloads\New Music\Top1000_Club\DEAF KEV - Invincible ｜ Glitch Hop ｜ NCS - Copyright Free Music.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Deaf Kev - Invincible ｜ Glitch Hop ｜ Ncs - Copyright Free Music.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,234193d21cd6dbe1600934ccfc966da0959399f1dfb938fe5780a80b54d0fca2,234193d21cd6dbe1600934ccfc966da0959399f1dfb938fe5780a80b54d0fca2
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - Beneath (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Beneath Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,c6ccd4de66b0e22d048ed1313a6f24959c8b55e59f8e6634b5d9be621ef6e753,c6ccd4de66b0e22d048ed1313a6f24959c8b55e59f8e6634b5d9be621ef6e753
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - Dance With The Devil (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Dance With the Devil Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,ea6a899fd8bf3507314fe03d12e2482501a4a550a4d7933e0066ff62830f7d2f,ea6a899fd8bf3507314fe03d12e2482501a4a550a4d7933e0066ff62830f7d2f
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - Moth To A Flame (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Moth to a Flame Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,980f22a952b07b985e79316e108859d32df02e282ca71bfa5b3a4ab40d982fff,980f22a952b07b985e79316e108859d32df02e282ca71bfa5b3a4ab40d982fff
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - Queen Of Shadow (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Queen of Shadow Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,5aeea017a6dd9001dd3b6f0d8730d3aba0cba27aeee7dd373c6171fddf71af2a,5aeea017a6dd9001dd3b6f0d8730d3aba0cba27aeee7dd373c6171fddf71af2a
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - The Reaping (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - The Reaping Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,06c667d5a48643df0644ce68547e79d044af2641110a4dd61808f01acd56c34f,06c667d5a48643df0644ce68547e79d044af2641110a4dd61808f01acd56c34f
C:\Users\suppo\Downloads\New Music\Top1000_Club\Different Heaven & EH!DE - My Heart ｜ Drumstep ｜ NCS - Copyright Free Music.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Different Heaven & Eh!de - My Heart ｜ Drumstep ｜ Ncs - Copyright Free Music.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,724d0b456b1df36fc49c440ff56c96426a22aead22f282aeb6e4ddecc24d3415,724d0b456b1df36fc49c440ff56c96426a22aead22f282aeb6e4ddecc24d3415
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Danger Danger (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Danger Danger Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,14600d6ddb5070b7a80c0aee9583c62fea5a7a35c3071741ea81f93a04b6ce2b,14600d6ddb5070b7a80c0aee9583c62fea5a7a35c3071741ea81f93a04b6ce2b
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Hey Living People (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Hey Living People Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,0eebe783053c626396b8bb9764b9b629b9a6ea2c71b4d2464f1eb071d8999e39,0eebe783053c626396b8bb9764b9b629b9a6ea2c71b4d2464f1eb071d8999e39
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Immortalis Dominum (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Immortalis Dominum Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,38effb026f49f190d628fd61808582902b6a56dda00dfa3b7bf523c211def2d6,38effb026f49f190d628fd61808582902b6a56dda00dfa3b7bf523c211def2d6
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - One Of Us (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - One of Us Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,ee52d3130a2e234f270eabb6b854c8e02120ff0ace5ad2a398a698057d8822b7,ee52d3130a2e234f270eabb6b854c8e02120ff0ace5ad2a398a698057d8822b7
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Patient Zero (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Patient Zero Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,919103151f418062292a64968c839d54a4eb3f8dbf441770777f25d4b87b8c09,919103151f418062292a64968c839d54a4eb3f8dbf441770777f25d4b87b8c09
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Rock You Like A Hurricane (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Rock You Like a Hurricane Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,042b8caed8761bc7e5ea06cf87fe16eaa4a300c9c8275a8cb28f7c9ba8908d75,042b8caed8761bc7e5ea06cf87fe16eaa4a300c9c8275a8cb28f7c9ba8908d75
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - We All Taste The Same (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - We All Taste the Same Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,7184a2440861ed08359bb22acf083d1161ae801d1d7e928eb1d8253b00336d74,7184a2440861ed08359bb22acf083d1161ae801d1d7e928eb1d8253b00336d74
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - We Are Forlorn (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - We Are Forlorn Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,83be4c29da0c1cba248d34d73b088b49df62cc1438796eee3f07bda6282681cd,83be4c29da0c1cba248d34d73b088b49df62cc1438796eee3f07bda6282681cd
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DRAGONY - Legends Never Die (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dragony - Legends Never Die Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,df2d245a4b01241618a12305900074fdaa504fc1e72be594def21d6c4a706358,df2d245a4b01241618a12305900074fdaa504fc1e72be594def21d6c4a706358
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DRAGONY - The Dead Queen's Race feat. Maria Nesh (Lyric Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dragony - The Dead Queen's Race Feat. Maria Nesh Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,244f88defdb76cfb1cafe1427bf0d18974b3a03ca621edd1a2f3f62f5f00365a,244f88defdb76cfb1cafe1427bf0d18974b3a03ca621edd1a2f3f62f5f00365a
