sec_label_id,track_id,artist,title,primary_genre,aligned_subgenre,secondary_genre,rule_type,decision,reason
838,2595,Tom MacDonald,The System - Tom MacDonald,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
839,2624,Tom MacDonald,Tom MacDonald -  Buttholes,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
840,2626,Tom MacDonald,Tom MacDonald - American Dreamz,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
841,2629,Tom MacDonald,Tom MacDonald - Angels,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
842,2631,Tom MacDonald,Tom MacDonald - Average Boy,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
843,2633,Tom MacDonald,Tom MacDonald - Best Rapper Ever,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
844,2634,Tom MacDonald,Tom MacDonald - Castles,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
845,2636,Tom MacDonald,Tom MacDonald - Dear Rappers,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
846,2637,Tom MacDonald,Tom MacDonald - Dirty Money,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
847,2638,Tom MacDonald,Tom MacDonald - End Of The World,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
848,2639,Tom MacDonald,Tom MacDonald - Everybody Hates Me,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
850,2641,Tom MacDonald,Tom MacDonald - Fighter,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
851,2642,Tom MacDonald,Tom MacDonald - Freedom's Not For Sale,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
852,2643,Tom MacDonald,Tom MacDonald - Freedoms Not For Sale,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
853,2646,Tom MacDonald,Tom MacDonald - Gravestones,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
854,2648,Tom MacDonald,Tom MacDonald - Hatred,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
855,2649,Tom MacDonald,Tom MacDonald - Helluvit,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
856,2652,Tom MacDonald,Tom MacDonald - I Dont Care,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
857,2653,Tom MacDonald,Tom MacDonald - I Hate Hip Hop,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
858,2654,Tom MacDonald,Tom MacDonald - I Wish,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
859,2655,Tom MacDonald,Tom MacDonald - Im Corny,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
860,2656,Tom MacDonald,Tom MacDonald - Im Sorry,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
861,2657,Tom MacDonald,Tom MacDonald - Luck You,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
862,2659,Tom MacDonald,Tom MacDonald - Money,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
863,2660,Tom MacDonald,Tom MacDonald - My Fans,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
885,2663,Tom MacDonald,Tom MacDonald - Names,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
864,2664,Tom MacDonald,Tom MacDonald - No Lives Matter,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
865,2666,Tom MacDonald,Tom MacDonald - No Response,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
866,2667,Tom MacDonald,Tom MacDonald - People So Stupid,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
867,2668,Tom MacDonald,Tom MacDonald - Politically Incorrect,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
