file_path,bpm,bpm_confidence,key,key_confidence,duration,sample_rate,bitrate,analysis_status,error_reason
C:\Users\suppo\Downloads\New Music\More Music\Alec Benjamin ~ If I Killed Someone For You.mp3,122.28,1.0,F# minor,0.8394,185.568,48000,242357,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alec Benjamin ~ If We Have Each Other.mp3,86.54,1.0,F minor,0.8736,184.272,48000,240271,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alec Benjamin ~ Outrunning Karma.mp3,148.03,1.0,B minor,0.8924,189.072,48000,238671,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alec Benjamin ~ Water Fountain.mp3,133.93,1.0,G# major,0.883,219.432,48000,241452,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alec Chambers - Without Me.mp3,140.62,1.0,A major,0.9222,147.672,48000,203871,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara - Here (Lucian Remix).mp3,133.93,1.0,G minor,0.9371,207.792,48000,260354,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara - Here.mp3,114.8,1.0,D minor,0.8242,210.024,48000,269249,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara - October.mp3,106.13,1.0,C major,0.9251,241.872,48000,245249,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara - Out Of Love.mp3,117.19,1.0,G major,0.9068,227.904,48000,239565,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara - Scars To Your Beautiful (Official Video).mp3,96.98,1.0,F major,0.8001,310.416,48000,240224,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara - Scars To Your Beautiful.mp3,96.98,1.0,C major,0.7889,128.376,48000,238008,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara - Seventeen.mp3,52.57,1.0,A major,0.8628,219.408,48000,252231,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara - Wild Things.mp3,108.17,1.0,F# minor,0.7134,236.544,48000,249502,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alessia Cara ~ Here Lyrics.mp3,117.19,1.0,D minor,0.8352,203.04,48000,238336,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alex & Sierra - Little Do You Know ⧸ Lyrics.mp3,148.03,1.0,C major,0.9732,181.8,48000,219951,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alex & Sierra - Little Do You Know.mp3,148.03,1.0,C major,0.9657,184.656,48000,227379,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ali Gatie - Cant Lie.mp3,130.81,1.0,G major,0.9263,195.528,48000,214015,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ali Gatie - It's You (Official Lyrics Video).mp3,95.34,1.0,D major,0.8968,214.344,48000,235136,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ali Gatie - Its You.mp3,95.34,1.0,D major,0.8948,212.712,48000,223097,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ali Gatie - Moonlight.mp3,119.68,1.0,B major,0.8168,228.912,48000,241698,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alice Cooper - Feed My Frankenstein.mp3,102.27,1.0,D minor,0.9269,261.144,48000,241223,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alice Cooper - House Of Fire.mp3,125.0,1.0,G# minor,0.7084,239.448,48000,276231,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alice Cooper - I Got a Line On You.mp3,148.03,1.0,A minor,0.8691,179.376,48000,272582,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alice Cooper - Only My Heart Talkin.mp3,144.23,1.0,A minor,0.8493,284.304,48000,258569,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alice Cooper - Poison.mp3,119.68,1.0,D minor,0.915,268.296,48000,236944,OK,
