folder,filename,extension,size_bytes,size_mb
READY_NORMALIZED,Gameova1k ft. @babymoney_ - Fall Off Dir - @2mdigital_.mp3,.mp3,5275184,5.03
READY_NORMALIZED,Gang Starr - Above the Clouds.mp3,.mp3,6495281,6.19
READY_NORMALIZED,Gang Starr - Moment of Truth ⧸ in Memory Of.mp3,.mp3,7421540,7.08
READY_NORMALIZED,George Michael - Careless Whisper (Music Video) (Alt 1).mp3,.mp3,10549716,10.06
READY_NORMALIZED,George Strait - Thats My Kind Of Woman.mp3,.mp3,7014002,6.69
READY_NORMALIZED,Geto Boys - Mind Playing Tricks on Me.mp3,.mp3,7444535,7.1
READY_NORMALIZED,Gloryhammer - Fly Away Napalm Records.mp3,.mp3,9989496,9.53
READY_NORMALIZED,Gloryhammer - He Has Returned Napalm Records.mp3,.mp3,10768161,10.27
READY_NORMALIZED,Gloryhammer - Holy Flaming Hammer of Unholy Cosmic Frost Napalm Records.mp3,.mp3,12157617,11.59
READY_NORMALIZED,Gloryhammer - Hootsforce Napalm Records.mp3,.mp3,8799649,8.39
READY_NORMALIZED,Gloryhammer - Keeper of the Celestial Flame of Abernethy Napalm Records.mp3,.mp3,9789151,9.34
READY_NORMALIZED,"Gloryhammer - Questlords of Inverness, Ride to the Galactic Fortress! Napalm Records.mp3",.mp3,12167412,11.6
READY_NORMALIZED,Good Times - Chic - Hq⧸hd.mp3,.mp3,9760925,9.31
READY_NORMALIZED,Hammer King - Ashes to Ashes Napalm Records.mp3,.mp3,11126563,10.61
READY_NORMALIZED,Hammer King - Atlantis Napalm Records.mp3,.mp3,13357314,12.74
READY_NORMALIZED,Hammer King - Awaken the Thunder Napalm Records.mp3,.mp3,9539614,9.1
READY_NORMALIZED,Hammer King - Invisible King ｜ Napalm Records.mp3,.mp3,9819814,9.36
READY_NORMALIZED,Hammer King - Kingdemonium Napalm Records.mp3,.mp3,10416672,9.93
READY_NORMALIZED,Hammer King - König Und Kaiser (Feat. the Tribune) Napalm Records.mp3,.mp3,10339532,9.86
READY_NORMALIZED,Hammer King - Pariah is My Name Napalm Records.mp3,.mp3,10727389,10.23
