original_path,new_path,result,reason,hash_before,hash_after
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear (Remix) (Official Music Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Craig Mack - Flava in Ya Ear (Remix).mp3,applied,success,08018b3c5a93e1602c5c26cb5620abb9fa8a440248bf12d5c1f40a6e13e608df,08018b3c5a93e1602c5c26cb5620abb9fa8a440248bf12d5c1f40a6e13e608df
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Quiet Storm ft. Lil' Kim (Official Video) ft. Lil' Kim.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Mobb Deep - Quiet Storm ft. Lil' Kim ft. Lil' Kim.mp3,applied,success,aa5f9c9b8dde9013ab5ecdc3b40a5ff930534c41c86f1d4c4fcc3c449b67db6d,aa5f9c9b8dde9013ab5ecdc3b40a5ff930534c41c86f1d4c4fcc3c449b67db6d
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - It Ain't Hard To Tell (Official Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Nas - It Ain't Hard to Tell.mp3,applied,success,8a861d27cfa2018782e24694794099b5a7e4d38f666069140a0a70035159ed98,8a861d27cfa2018782e24694794099b5a7e4d38f666069140a0a70035159ed98
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Queen Latifah - U.N.I.T.Y..mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Queen Latifah - U.n.i.t.y..mp3,applied,success,47670b29f2fb8bf8b8c0a030fc68d270261f00bd560ebeebe956ab65aac672ee,47670b29f2fb8bf8b8c0a030fc68d270261f00bd560ebeebe956ab65aac672ee
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Snoop Dogg - Gin And Juice.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Snoop Dogg - Gin and Juice.mp3,applied,success,e21145ed437acbedafc22471e5daf9b13eb8635adb95d036c5555bb992c72d0f,e21145ed437acbedafc22471e5daf9b13eb8635adb95d036c5555bb992c72d0f
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Souls Of Mischief - 93 'Til Infinity (Official Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Souls of Mischief - 93 'til Infinity.mp3,applied,success,a1b0cbc0ad4bdbbdf39bd4b5afed49c598d7c2cffe0ccc8cd2490c4db06ee27c,a1b0cbc0ad4bdbbdf39bd4b5afed49c598d7c2cffe0ccc8cd2490c4db06ee27c
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Souls Of Mischief - 93 Til Infinity.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Souls of Mischief - 93 Til Infinity.mp3,applied,success,a1b0cbc0ad4bdbbdf39bd4b5afed49c598d7c2cffe0ccc8cd2490c4db06ee27c,a1b0cbc0ad4bdbbdf39bd4b5afed49c598d7c2cffe0ccc8cd2490c4db06ee27c
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Pharcyde - Passin Me By.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\The Pharcyde - Passin Me By.mp3,applied,success,6d5c65267efa4162baebc2839f7f19d57328f1316f2cc4cf793ed6b9539ff338,6d5c65267efa4162baebc2839f7f19d57328f1316f2cc4cf793ed6b9539ff338
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Pharcyde - Passin' Me By (Official HD Music Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\The Pharcyde - Passin' Me By.mp3,applied,success,6d5c65267efa4162baebc2839f7f19d57328f1316f2cc4cf793ed6b9539ff338,6d5c65267efa4162baebc2839f7f19d57328f1316f2cc4cf793ed6b9539ff338
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Roots - You Got Me ft. Erykah Badu.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\The Roots - You Got Me ft. Erykah Badu.mp3,applied,success,4ba681d810f492315181812585615811680ced0c836c73ef77c69f9f3ce6c79e,4ba681d810f492315181812585615811680ced0c836c73ef77c69f9f3ce6c79e
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Wu-Tang Clan - Da Mystery Of Chessboxin' (Official HD Video).mp3,,deferred,over_cap,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Wu-Tang Clan - Da Mystery Of Chessboxin.mp3,,deferred,over_cap,,
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Louis Armstrong, Nat King Cole & Frank Sinatra ： Best Old Songs 50s - 70s ｜ Nostalgic Vintage Jazz.mp3",,deferred,over_cap,,
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Handel - Xerxes： Ombra Mai Fu.mp3,,deferred,over_cap,,
