canonical_artist,canonical_title,source,confidence,seed_result
Alesso,Alesso - I Wanna Know ft. Nico & Vinz,clean_high_confidence,0.76,seeded
Alesso,Alesso - Sweet Escape ft. Sirena,clean_high_confidence,0.76,seeded
Avicii,Avicii - Hey Brother,clean_high_confidence,0.76,seeded
Avicii,Avicii - Lay Me Down,clean_high_confidence,0.76,seeded
Axwell Λ Ingrosso,Axwell Λ Ingrosso - Thinking About You,clean_high_confidence,0.76,seeded
Calvin Harris,Calvin Harris - Blame ft. John Newman,clean_high_confidence,0.76,seeded
Caribou,CARIBOU - Never Come Back,clean_high_confidence,0.76,seeded
Dani 3Palacios “El Tripas” 🎙️,Dani 3Palacios - No Tomorrow ft. F4st,clean_high_confidence,0.72,seeded
Dani 3Palacios “El Tripas” 🎙️,Dani 3Palacios - Vodka,clean_high_confidence,0.72,seeded
Why Not,DISCONNECTED,clean_high_confidence,0.8,seeded
DJ Snake,DJ Snake - Middle ft. Bipolar Sunshine,clean_high_confidence,0.76,seeded
Clap Codex,Earthrise,clean_high_confidence,0.8,seeded
Elektronomia,Elektronomia & Stahl! - Journey,clean_high_confidence,0.72,seeded
Halsey,Halsey - Hurricane (Arty Remix/Audio),clean_high_confidence,0.76,seeded
Hardwell,Hardwell - Eclipse (OUT NOW!) #UnitedWeAre,clean_high_confidence,0.76,seeded
Jon Bellion,Jon Bellion - All Time Low (Video),clean_high_confidence,0.76,seeded
Jonas Blue,Jonas Blue - Perfect Strangers ft. JP Cooper,clean_high_confidence,0.76,seeded
Krewella,Krewella - Alive (Pegboard Nerds Remix),clean_high_confidence,0.76,seeded
Kygo,Kygo & Selena Gomez - It Ain't Me (Audio),clean_high_confidence,0.72,seeded
Grupo LemonGrass,LemonGrass - Sing Me to Sleep (Alan Walker Cover),clean_high_confidence,0.72,seeded
Madeon,Madeon - Finale,clean_high_confidence,0.76,seeded
Madeon,Madeon - Icarus,clean_high_confidence,0.76,seeded
Mandragora,Mandragora - Amsterdam Fire,clean_high_confidence,0.76,seeded
Martin Garrix,Martin Garrix & Jay Hardway - Spotless,clean_high_confidence,0.72,seeded
Martin Garrix,Martin Garrix & Mesto - WIEE,clean_high_confidence,0.72,seeded
