file_path,metadata_artist,metadata_title,metadata_album,metadata_genre,metadata_track,tag_version,duration_secs,missing_fields
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Battlelore - Chambers of Fire Napalm Records.mp3,Napalm Records,BATTLELORE - Chambers Of Fire (Lyric Video) | Napalm Records,,Music,63,ID3v2.3,254.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Battlelore - Elvenking Napalm Records.mp3,Napalm Records,BATTLELORE - Elvenking (Official Video) | Napalm Records,,Music,63,ID3v2.3,335.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Beastie Boys - Intergalactic.mp3,BeastieBoys,Beastie Boys - Intergalactic,,Music,63,ID3v2.3,274.6,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Big L - Put it On (Music Video) (Alt 1).mp3,Big L,Big L - Put It On (Official Music Video),,Music,63,ID3v2.3,220.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Big Pun - Still Not a Player ft. Joe (Music Video) (Alt 1).mp3,Big Pun,Big Pun - Still Not a Player (Official Video) ft. Joe,,Music,63,ID3v2.3,277.3,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Biggie Smalls - Notorious Thugs.mp3,Biggie Smalls,Biggie Smalls - Notorious Thugs,,Music,63,ID3v2.4,369.8,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - Children of the Grave⧸embryo.mp3,Sabbathvibes,Black Sabbath - Children Of The Grave/Embryo,,Music,63,ID3v2.3,345.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - Sweet Leaf.mp3,,,,,,ID3v2.4,305.0,TPE1;TIT2;TALB;TCON;TRCK
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - ~ War Pigs.mp3,Gabrielle Marie,Black Sabbath ~ War Pigs,,Music,63,ID3v2.3,474.7,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Star - Respiration ft. Common.mp3,BlackStarVEVO,Black Star - Respiration ft. Common,,Music,63,ID3v2.3,277.8,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bloodbound - As Empires Fall Napalm Records.mp3,Napalm Records,BLOODBOUND - As Empires Fall (Official Video) | Napalm Records,,Music,63,ID3v2.3,253.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bloodbound - Defenders of Jerusalem Napalm Records.mp3,Napalm Records,BLOODBOUND - Defenders Of Jerusalem (Official Video) | Napalm Records,,Music,63,ID3v2.3,280.9,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs-N-Harmony,Bone Thugs N Harmony - Crossroads,,Music,63,ID3v2.3,283.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs-N-Harmony,Bone Thugs n Harmony - Thuggish Ruggish Bone,,Music,63,ID3v2.3,274.1,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cancun - Jhanking ｜.mp3,Jhanking Oficial,CANCUN - Jhanking | (Prod.BiologicoenelBeat) (VIDEO OFICIAL),,Music,63,ID3v2.3,180.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - Call 911 ｜ Official Music Video.mp3,Caríne,Carine - Call 911 | Official Music Video,,Music,63,ID3v2.3,164.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - Lolita ｜ Official Visualizer.mp3,Caríne,Carine - Lolita | Official Visualizer,,Music,63,ID3v2.3,164.5,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - On My Mind ｜ Official Music Video.mp3,Caríne,Carine - On My Mind | Official Music Video,,Music,63,ID3v2.3,167.3,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Charlie Daniels Band - The South's Gonna Do it (Live).mp3,Charlie Daniels,Charlie Daniels Band - The South's Gonna Do It (Live),,Music,63,ID3v2.3,267.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Battle of Life Napalm Records.mp3,Napalm Records,CIVIL WAR - Battle Of Life (Official Lyric Video) | Napalm Records,,Music,63,ID3v2.3,242.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Invaders Napalm Records.mp3,Napalm Records,CIVIL WAR - Invaders (Official Lyric Video) | Napalm Records,,Music,63,ID3v2.3,271.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Oblivion Napalm Records.mp3,Napalm Records,CIVIL WAR - Oblivion (Official Lyric Video) | Napalm Records,,Music,63,ID3v2.3,338.7,TALB
"C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cool Company - I Dont Wanna Be in Love, but I Dont Wanna Be Alone ｜ Official Music Video.mp3",Cool Company,"Cool Company - I Don't Wanna Be In Love, But I Don't Wanna Be Alone | Official Music Video",,Music,63,ID3v2.3,192.3,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Craig Mack - Flava in Ya Ear (Remix).mp3,Bad Boy Entertainment,Craig Mack - Flava In Ya Ear (Remix) (Official Music Video),,Music,63,ID3v2.3,304.6,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Craig Mack - Flava in Ya Ear.mp3,Bad Boy Entertainment,Craig Mack - Flava In Ya Ear (Remix) (Official Music Video),,Music,63,ID3v2.3,304.6,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cypress Hill - Insane in the Brain (Music Video) (Alt 1).mp3,Cypress Hill,Cypress Hill - Insane In The Brain (Official HD Video),,Music,63,ID3v2.3,214.1,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Deaf Kev - Invincible ｜ Glitch Hop ｜ Ncs - Copyright Free Music.mp3,NoCopyrightSounds,DEAF KEV - Invincible | Glitch Hop | NCS - Copyright Free Music,,Entertainment,63,ID3v2.3,273.1,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Beneath Napalm Records.mp3,"Napalm Records, Delain Official",DELAIN - Beneath (Official Video) | Napalm Records,,Music,63,ID3v2.3,329.7,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Dance With the Devil Napalm Records.mp3,"Napalm Records, Delain Official",DELAIN - Dance With The Devil (Official Video) | Napalm Records,,Music,63,ID3v2.3,279.8,TALB
