file_path,original_name,cleaned_name,issue_type,confidence,recommended_action,auto_clean,notes,priority_score
"C:\Users\suppo\Downloads\New Music\Top1000\Laung Laachi Title Song ｜ Mannat Noor ｜ Ammy Virk, Neeru Bajwa,Amberdeep ｜ Latest Punjabi Song 2018.mp3","Laung Laachi Title Song ｜ Mannat Noor ｜ Ammy Virk, Neeru Bajwa,Amberdeep ｜ Latest Punjabi Song 2018.mp3","Laung Laachi - Title Song Mannat Noor Ammy Virk, Neeru Bajwa,amberdeep Latest Punjabi Song 201",ILLEGAL_CHAR,0.85,RENAME,true,stripped_unicode_0xff5c,2
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Legends of Jazz & Soul 🎷 Frank Sinatra, Louis Armstrong, Nat King Cole🎷 🎶 Jazz Classics 50s 60s 70s.mp3","Legends of Jazz & Soul 🎷 Frank Sinatra, Louis Armstrong, Nat King Cole🎷 🎶 Jazz Classics 50s 60s 70s.mp3","Legends Of - Jazz & Soul Frank Sinatra, Louis Armstrong, Nat King Cole Jazz Classics 50s 60s 70",BAD_SPLIT,0.85,RENAME,true,stripped_emoji,2
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Legends of Jazz & Soul 🎷Frank Sinatra, Nat King Cole, Louis Armstrong ｜ Timeless Classics.mp3","Legends of Jazz & Soul 🎷Frank Sinatra, Nat King Cole, Louis Armstrong ｜ Timeless Classics.mp3","Legends Of - Jazz & Soul frank Sinatra, Nat King Cole, Louis Armstrong Timeless Classics.mp3",ILLEGAL_CHAR,0.85,RENAME,true,stripped_emoji; stripped_unicode_0xff5c,2
C:\Users\suppo\Downloads\New Music\Top1000\LEMONA - Sometimes ｜ English Version.mp3,LEMONA - Sometimes ｜ English Version.mp3,Lemona - Sometimes.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c,4
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Leoncavallo - Pagliacci： Vesti La Giubba.mp3,Leoncavallo - Pagliacci： Vesti La Giubba.mp3,Leoncavallo Pagliacci� - Vesti La Giubba.mp3,NO_CHANGE,1,RENAME,false,"Parse: standard. Dup risk: none. Group: . proposed matches original, no action nee",4
C:\Users\suppo\Downloads\New Music\Top1000_Country\Let it Go-Zac Brown Band.mp3,Let it Go-Zac Brown Band.mp3,Let It - Go-zac Brown Band.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\LET＂S GO-feat. twista lil jon and Trick Daddy.mp3,LET＂S GO-feat. twista lil jon and Trick Daddy.mp3,Lets Go-feat. - Twista Lil Jon and Trick Daddy.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000\Lil Sammy Ft Tashon Whole Lotta Money.mp3,Lil Sammy Ft Tashon Whole Lotta Money.mp3,Lil Sammy - Ft. Tashon Whole Lotta Money.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Lin Que ＂Let It Fall＂.mp3,Lin Que ＂Let It Fall＂.mp3,Lin Que.mp3,NO_PARSE,0,VERIFY,false,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Little Walter-Youd Better Watch Yourself.mp3,Little Walter-Youd Better Watch Yourself.mp3,Little Walter-youd - Better Watch Yourself.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\LL Cool J-Rock The Bells.mp3,LL Cool J-Rock The Bells.mp3,Ll Cool - J-rock the Bells.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Louis Armstrong, Nat King Cole & Frank Sinatra ： Best Old Songs 50s - 70s ｜ Nostalgic Vintage Jazz.mp3","Louis Armstrong, Nat King Cole & Frank Sinatra ： Best Old Songs 50s - 70s ｜ Nostalgic Vintage Jazz.mp3","Louis Armstrong, Nat King Cole & Frank Sinatra ： Best Old Songs 50s - 70s Nostalgic Vintage Jazz.m",NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c,4
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Louis Armstrong, Nat King Cole, Frank Sinatra 🎷 Timeless Vintage Jazz Hits.mp3","Louis Armstrong, Nat King Cole, Frank Sinatra 🎷 Timeless Vintage Jazz Hits.mp3","Louis Armstrong, - Nat King Cole, Frank Sinatra Timeless Vintage Jazz Hits.mp3",BAD_SPLIT,0.85,RENAME,true,stripped_emoji,2
C:\Users\suppo\Downloads\New Music\Top1000\Lucenzo And Don Omar Danza Kuduro.mp3,Lucenzo And Don Omar Danza Kuduro.mp3,Lucenzo And - Don Omar Danza Kuduro.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Luchini AKA This Is It.mp3,Luchini AKA This Is It.mp3,Luchini Aka - This is It.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Luciano Pavarotti： Celeste Aida.mp3,Luciano Pavarotti： Celeste Aida.mp3,Luciano Pavarotti� - Celeste Aida.mp3,ILLEGAL_CHAR,0.3,RENAME,false,Parse: fallback_heuristic. Dup risk: none. Group: . proposed name has illegal/problematic Un,2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Lycii - Yoko ｜ Diversity Release.mp3,Lycii - Yoko ｜ Diversity Release.mp3,Lycii - Yoko Diversity Release.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c,4
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Lynyrd Skynyrd-All i can do is write about it.mp3,Lynyrd Skynyrd-All i can do is write about it.mp3,Lynyrd Skynyrd-all - I Can Do is Write About It.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000\M.A.R.I.A.M.mp3,M.A.R.I.A.M.mp3,M.a.r.i.a.m.mp3,NO_PARSE,0,VERIFY,false,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\M.O.P. - Ante Up w⧸ Lyrics.mp3,M.O.P. - Ante Up w⧸ Lyrics.mp3,M.o.p. - Ante up W.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0x29f8; stripped:\bLyrics?!?\b,4
