track_id,original_genre,v2_genre,harmonic_stability,loudness_lufs,avg_section_duration,tempo_stability,energy,danceability,section_count
2645,Pop,Pop,0.6823,-27.4,77.90433333333333,0.898,0.536,0.531,3.0
2648,Hip-Hop,Hip-Hop,0.516,-23.8,78.66566666666667,0.8788,0.741,0.608,3.0
2653,Hip-Hop,Hip-Hop,0.3845,-24.9,81.078,0.8731,0.889,0.735,3.0
2655,Hip-Hop,Hip-Hop,0.7887,-25.3,68.82199999999999,0.8767,0.811,0.864,3.0
2663,Hip-Hop,Hip-Hop,0.713,-24.7,90.26133333333333,0.7979,0.701,0.943,3.0
2667,Hip-Hop,Hip-Hop,0.448,-23.8,61.23266666666666,0.8812,0.73,0.954,3.0
2668,Hip-Hop,Hip-Hop,0.76,-26.8,82.02866666666667,0.898,0.385,0.824,3.0
2675,Hip-Hop,Hip-Hop,0.6404,-24.5,121.58233333333334,0.8991,0.862,0.98,3.0
2676,Hip-Hop,Hip-Hop,0.7357,-24.6,75.09733333333334,0.8812,0.768,0.968,3.0
2693,Hip-Hop,Hip-Hop,0.5624,-29.2,106.61266666666666,0.8985,0.674,0.933,3.0
2698,Hip-Hop,Hip-Hop,0.5981,-24.6,96.49666666666668,0.8989,0.807,0.63,3.0
2703,Metal,Metal,0.7711,-22.1,82.67866666666667,0.8479,1.0,0.803,3.0
2706,Hip-Hop,Hip-Hop,0.3285,-30.6,130.434,0.85,0.326,0.452,2.0
2708,Country,Country,0.8584,-27.2,81.61533333333334,0.8879,0.695,0.591,3.0
2714,Country,Country,0.6888,-29.5,70.96933333333332,0.9,0.498,0.867,3.0
2715,Country,Country,0.8658,-29.5,58.52200000000001,0.9,0.356,0.814,3.0
2717,Country,Country,0.7599,-32.0,59.443333333333335,0.8983,0.341,0.458,3.0
2722,Country,Country,0.7147,-30.4,53.61933333333332,0.9,0.361,0.638,3.0
2727,Country,Country,0.8194,-25.7,82.13933333333334,0.8991,0.698,0.942,3.0
2731,Country,Country,0.8325,-25.4,104.098,0.9,0.515,0.866,2.0
2733,Country,Country,0.775,-34.1,77.87066666666666,0.8994,0.275,0.783,3.0
2748,Rock,Rock,0.7892,-31.8,82.12133333333333,0.9,0.215,0.761,3.0
2751,Soundtrack,Other,0.6222,-26.1,72.69800000000001,0.9,0.421,0.779,3.0
2752,Rock,Rock,0.8,-14.0,,,0.24,0.44,
2755,Country,Country,0.6738,-34.7,72.44466666666666,0.896,0.234,0.418,3.0
2758,Country,Country,0.8,-14.0,,,0.76,1.0,
2761,Pop,Pop,0.3821,-28.2,76.93133333333334,0.8981,0.567,0.893,3.0
2763,Rock,Rock,0.6843,-24.6,80.138,0.9,0.818,0.795,3.0
2766,Rock,Rock,0.8543,-31.2,134.63833333333332,0.5981,0.231,0.65,3.0
2770,Country,Country,0.657,-23.4,121.963,0.8,0.85,0.63,2.0
2773,Rock,Rock,0.7907,-24.8,124.752,0.8968,0.514,0.873,2.0
2775,Rock,Rock,0.5903,-29.8,80.46466666666667,0.8992,0.578,0.859,3.0
2781,Pop,Pop,0.8109,-27.4,159.25650000000002,0.8714,0.703,0.792,2.0
2808,Hip-Hop,Hip-Hop,,,,,,,
2811,Hip-Hop,Hip-Hop,0.5643,-34.8,89.15033333333332,0.8703,0.216,0.761,3.0
2828,Rock,Rock,0.7698,-29.0,115.02633333333334,0.8977,0.588,0.901,3.0
2838,Hip-Hop,Hip-Hop,0.7182,-30.5,153.665,0.8719,0.407,0.833,2.0
2841,Hip-Hop,Hip-Hop,0.8459,-27.6,64.89233333333333,0.7979,0.524,0.692,3.0
2846,Rock,Rock,0.7236,-21.3,77.16000000000001,0.8817,1.0,0.63,3.0
2848,Hip-Hop,Hip-Hop,0.6622,-32.9,203.44,0.9,0.319,0.666,3.0
2851,Metal,Metal,0.7084,-38.7,94.156,0.8991,0.096,0.709,3.0
2852,Rock,Rock,0.7023,-22.1,151.68599999999998,0.8989,0.757,0.864,2.0
2855,Rock,Rock,0.6524,-23.1,103.64333333333332,0.8481,0.856,0.98,3.0
2856,Country,Country,0.5814,-23.3,102.083,0.8881,0.936,0.63,2.0
2862,Electronic,Other,0.8063,-27.2,141.775,0.8944,0.637,0.919,3.0
2868,Rock,Rock,0.6909,-30.1,92.30366666666669,0.9,0.625,0.564,3.0
2872,Folk,Other,0.7818,-32.5,90.02433333333333,0.8842,0.475,0.858,3.0
2879,Electronic,Other,0.5997,-16.3,77.66033333333334,0.6,0.982,0.98,3.0
