track_id,genre,subgenre,bpm_detected,tempo_stability,key_detected,harmonic_stability,bass_energy,mid_energy,high_energy,spectral_centroid,spectral_rolloff,spectral_flux,transient_density,onset_density,vocal_presence,instrumentalness,drum_presence,guitar_presence,synth_presence,section_repeat_score,dynamic_range_score,loudness_lufs,energy,danceability,valence,zero_crossing_rate,rms_mean,spectral_bandwidth,section_count,avg_section_duration
2552,Reggae,,86.1,0.9,6B,0.9197,,,,,,,,,,,,,,,,-30.2,0.274,0.614,,,,,3.0,81.78599999999999
2562,Rock,,152.0,0.8637,6A,0.6992,,,,,,,,,,,,,,,,-23.5,0.724,0.602,,,,,3.0,70.92666666666666
2570,Rock,,143.6,0.8992,7B,0.488,,,,,,,,,,,,,,,,-29.0,0.512,0.795,,,,,3.0,62.86533333333333
2573,Hip-Hop,,132.0,,,0.8,,,,,,,,,,,,,,,,-14.0,0.53,0.53,,,,,,
2576,Rock,,107.7,0.8884,7A,0.752,,,,,,,,,,,,,,,,-26.1,0.481,0.86,,,,,3.0,88.58733333333333
2578,Rock,,112.3,0.885,4B,0.6536,,,,,,,,,,,,,,,,-26.9,0.622,0.913,,,,,3.0,86.12733333333334
2579,Country,Bluegrass,152.0,0.8703,10B,0.7307,,,,,,,,,,,,,,,,-28.9,0.344,0.459,,,,,3.0,63.816
2583,Rock,,112.3,0.9,9B,0.8924,,,,,,,,,,,,,,,,-29.4,0.269,0.781,,,,,3.0,76.794
2584,Rock,,92.3,0.8949,8B,0.7373,,,,,,,,,,,,,,,,-38.7,0.17,0.666,,,,,3.0,78.46133333333334
2592,Rock,,117.5,0.8684,7A,0.3466,,,,,,,,,,,,,,,,-28.9,0.518,0.874,,,,,3.0,133.58466666666666
2599,Rock,,152.0,0.8984,8A,0.5732,,,,,,,,,,,,,,,,-24.4,0.583,0.899,,,,,3.0,69.08066666666666
2600,Country,,112.3,0.8976,12B,0.6215,,,,,,,,,,,,,,,,-27.3,0.451,0.772,,,,,3.0,61.49933333333334
2602,Country,,172.3,0.7993,7B,0.8583,,,,,,,,,,,,,,,,-24.7,0.574,0.744,,,,,3.0,61.576
2611,Country,,123.0,0.9,9B,0.6183,,,,,,,,,,,,,,,,-24.4,0.813,0.98,,,,,3.0,55.867333333333335
2617,Country,,117.5,0.898,7B,0.7851,,,,,,,,,,,,,,,,-25.6,0.594,0.903,,,,,3.0,72.75066666666667
2618,Country,,86.1,0.9,1A,0.7572,,,,,,,,,,,,,,,,-27.2,0.431,0.492,,,,,3.0,72.68533333333333
2622,Hip-Hop,,136.0,0.9,1B,0.9293,,,,,,,,,,,,,,,,-25.1,0.715,0.832,,,,,3.0,76.712
2643,Hip-Hop,,95.7,0.8963,9B,0.761,,,,,,,,,,,,,,,,-25.9,0.603,0.828,,,,,3.0,102.89399999999999
2645,Pop,,117.5,0.898,11B,0.6823,,,,,,,,,,,,,,,,-27.4,0.536,0.531,,,,,3.0,77.90433333333333
2648,Hip-Hop,,152.0,0.8788,3A,0.516,,,,,,,,,,,,,,,,-23.8,0.741,0.608,,,,,3.0,78.66566666666667
2653,Hip-Hop,,152.0,0.8731,11A,0.3845,,,,,,,,,,,,,,,,-24.9,0.889,0.735,,,,,3.0,81.078
2655,Hip-Hop,,89.1,0.8767,8B,0.7887,,,,,,,,,,,,,,,,-25.3,0.811,0.864,,,,,3.0,68.82199999999999
2663,Hip-Hop,,172.3,0.7979,12B,0.713,,,,,,,,,,,,,,,,-24.7,0.701,0.943,,,,,3.0,90.26133333333333
2667,Hip-Hop,,117.5,0.8812,3A,0.448,,,,,,,,,,,,,,,,-23.8,0.73,0.954,,,,,3.0,61.23266666666666
2668,Hip-Hop,,117.5,0.898,3A,0.76,,,,,,,,,,,,,,,,-26.8,0.385,0.824,,,,,3.0,82.02866666666667
2675,Hip-Hop,,129.2,0.8991,3B,0.6404,,,,,,,,,,,,,,,,-24.5,0.862,0.98,,,,,3.0,121.58233333333334
2676,Hip-Hop,,99.4,0.8812,7B,0.7357,,,,,,,,,,,,,,,,-24.6,0.768,0.968,,,,,3.0,75.09733333333334
