batch_id,original_path,original_name,proposed_name,cleaned_name,guessed_artist,guessed_title,override_applied,parse_method,confidence,collision_status,duplicate_group_id,duplicate_risk,action,target_state,notes
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.mp3,Dr Dre - Nuthin But A ＂G＂ Thang.mp3,Dr Dre - Nuthin but a Thang.mp3,Dr Dre - Nuthin But A Thang.mp3,Dr Dre,Nuthin But A Thang,,standard,1.0,ok,G0097,near_duplicate,,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.temp.mp3,Dr Dre - Nuthin But A ＂G＂ Thang.temp.mp3,Dr Dre - Nuthin but a Thang.temp.mp3,Dr Dre - Nuthin But A Thang.temp.mp3,Dr Dre,Nuthin But A Thang.temp,,standard,1.0,ok,G0097,near_duplicate,,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin' But A ＂G＂ Thang [Official Music Video].mp3,Dr Dre - Nuthin' But A ＂G＂ Thang [Official Music Video].mp3,Dr Dre - Nuthin' but a Thang.mp3,Dr Dre - Nuthin' But A Thang.mp3,Dr Dre,Nuthin' But A Thang,,standard,1.0,ok,G0098,near_duplicate,,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,Eazy-e - Real Muthaphuckkin G's.mp3,Eazy-E - Real Muthaphuckkin G's.mp3,Eazy-E,Real Muthaphuckkin G's,,standard,1.0,ok,G0103,near_duplicate,,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eazy-E - Real Muthaphuckkin Gs.mp3,Eazy-E - Real Muthaphuckkin Gs.mp3,Eazy-e - Real Muthaphuckkin Gs.mp3,Eazy-E - Real Muthaphuckkin Gs.mp3,Eazy-E,Real Muthaphuckkin Gs,,standard,1.0,no_change,G0104,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_Country\Eric Church - Over When It's Over (Music Video).mp3,Eric Church - Over When It's Over (Music Video).mp3,Eric Church - Over When It's Over.mp3,Eric Church - Over When It's Over.mp3,Eric Church,Over When It's Over,,standard,1.0,ok,G0167,similar_title,,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_Country\Eric Church - Over When Its Over.mp3,Eric Church - Over When Its Over.mp3,Eric Church - Over When Its Over.mp3,Eric Church - Over When Its Over.mp3,Eric Church,Over When Its Over,,standard,1.0,no_change,G0167,similar_title,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Gang Starr - Above The Clouds.mp3,Gang Starr - Above The Clouds.mp3,Gang Starr - Above the Clouds.mp3,Gang Starr - Above The Clouds.mp3,Gang Starr,Above The Clouds,,standard,1.0,no_change,G0099,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me (Official Video) [Explicit].mp3,Geto Boys - Mind Playing Tricks On Me (Official Video) [Explicit].mp3,Geto Boys - Mind Playing Tricks on Me [explicit].mp3,Geto Boys - Mind Playing Tricks On Me [Explicit].mp3,Geto Boys,Mind Playing Tricks On Me [Explicit],,standard,1.0,ok,G0170,similar_title,,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me.mp3,Geto Boys - Mind Playing Tricks On Me.mp3,Geto Boys - Mind Playing Tricks on Me.mp3,Geto Boys - Mind Playing Tricks On Me.mp3,Geto Boys,Mind Playing Tricks On Me,,standard,1.0,no_change,G0112,near_duplicate,skip,REVIEW_REQUIRED,
